id;player;time;empty_cells;round
1;H_ALFA_BETA_3;0,03033;42;1
1;MCTS_1000;0,939265;41;1
1;H_ALFA_BETA_3;0,025168;40;2
1;MCTS_1000;0,813045;39;2
1;H_ALFA_BETA_3;0,031838;38;3
1;MCTS_1000;0,856141;37;3
1;H_ALFA_BETA_3;0,037513;36;4
1;MCTS_1000;0,826813;35;4
1;H_ALFA_BETA_3;0,039655;34;5
1;MCTS_1000;0,799472;33;5
1;H_ALFA_BETA_3;0,028004;32;6
1;MCTS_1000;0,658268;31;6
1;H_ALFA_BETA_3;0,038176;30;7
1;MCTS_1000;0,594334;29;7
1;H_ALFA_BETA_3;0,03077;28;8
1;MCTS_1000;0,319112;27;8
1;H_ALFA_BETA_3;0,019427;26;9
1;MCTS_1000;0,255606;25;9
1;H_ALFA_BETA_3;0,026424;24;10
1;MCTS_1000;0,153693;23;10
2;MCTS_1000;0,936776;42;1
2;H_ALFA_BETA_3;0,026668;41;1
2;MCTS_1000;0,884595;40;2
2;H_ALFA_BETA_3;0,025309;39;2
2;MCTS_1000;0,771905;38;3
2;H_ALFA_BETA_3;0,029405;37;3
2;MCTS_1000;0,864406;36;4
2;H_ALFA_BETA_3;0,036567;35;4
2;MCTS_1000;0,817341;34;5
2;H_ALFA_BETA_3;0,034746;33;5
2;MCTS_1000;0,646697;32;6
2;H_ALFA_BETA_3;0,048028;31;6
2;MCTS_1000;0,614687;30;7
2;H_ALFA_BETA_3;0,043207;29;7
2;MCTS_1000;0,455419;28;8
2;H_ALFA_BETA_3;0,025464;27;8
2;MCTS_1000;0,344098;26;9
2;H_ALFA_BETA_3;0,012046;25;9
2;MCTS_1000;0,365172;24;10
2;H_ALFA_BETA_3;0,01336;23;10
2;MCTS_1000;0,269921;22;11
2;H_ALFA_BETA_3;0,010579;21;11
2;MCTS_1000;0,176821;20;12
2;H_ALFA_BETA_3;0,007754;19;12
2;MCTS_1000;0,120236;18;13